Date_Ajout,Date_Sortie,Titre,Artiste,Genre,Difficulté,preview_url,artwork_url
2026-01-12,1990-06-03,Le Jerk,Thierry Hazard,1,Moyen,./fichiers_audio/408_Le_Jerk_Thierry_Hazard.m4a,./pochettes/408_Le_Jerk_Thierry_Hazard.jpg
2026-01-12,2007-09-11,Apologize,Timbaland ft. OneRepublic,1,Moyen,./fichiers_audio/409_Apologize_Timbaland_ft_OneRepublic.m4a,./pochettes/409_Apologize_Timbaland_ft_OneRepublic.jpg
2026-01-12,1989-08-21,The Best,Tina Turner,2,Facile,./fichiers_audio/410_The_Best_Tina_Turner.m4a,./pochettes/410_The_Best_Tina_Turner.jpg
2026-01-12,1999-01-23,No Scrubs,TLC,3,Facile,./fichiers_audio/411_No_Scrubs_TLC.m4a,./pochettes/411_No_Scrubs_TLC.jpg
2026-01-12,2019-05-10,Dance Monkey,Tones and I,1,Moyen,./fichiers_audio/412_Dance_Monkey_Tones_and_I.m4a,./pochettes/412_Dance_Monkey_Tones_and_I.jpg
2026-01-12,1982-06-25,Africa,Toto,1,Facile,./fichiers_audio/413_Africa_Toto.m4a,./pochettes/413_Africa_Toto.jpg
2026-01-12,1988-04-06,Fast Car,Tracy Chapman,2,Moyen,./fichiers_audio/414_Fast_Car_Tracy_Chapman.m4a,./pochettes/414_Fast_Car_Tracy_Chapman.jpg
2026-01-12,1987-03-16,With or Without You,U2,2,Facile,./fichiers_audio/415_With_or_Without_You_U2.m4a,./pochettes/415_With_or_Without_You_U2.jpg
2026-01-12,1992-02-24,One,U2,2,Facile,./fichiers_audio/416_One_U2.m4a,./pochettes/416_One_U2.jpg
2026-01-12,2000-10-09,Beautiful Day,U2,2,Facile,./fichiers_audio/417_Beautiful_Day_U2.m4a,./pochettes/417_Beautiful_Day_U2.jpg
2026-01-12,1977-02-10,Ti amo,Umberto Tozzi,1,Moyen,./fichiers_audio/418_Ti_amo_Umberto_Tozzi.m4a,./pochettes/418_Ti_amo_Umberto_Tozzi.jpg
2026-01-12,2004-01-10,Yeah!,Usher,3,Moyen,./fichiers_audio/419_Yeah_Usher.m4a,./pochettes/419_Yeah_Usher.jpg
2026-01-12,2002-02-12,A Thousand Miles,Vanessa Carlton,1,Moyen,./fichiers_audio/420_A_Thousand_Miles_Vanessa_Carlton.m4a,./pochettes/420_A_Thousand_Miles_Vanessa_Carlton.jpg
2026-01-12,1987-04-10,Joe le taxi,Vanessa Paradis,1,Moyen,./fichiers_audio/421_Joe_le_taxi_Vanessa_Paradis.m4a,./pochettes/421_Joe_le_taxi_Vanessa_Paradis.jpg
2026-01-12,1990-08-12,Ice Ice Baby,Vanilla Ice,3,Moyen,./fichiers_audio/422_Ice_Ice_Baby_Vanilla_Ice.m4a,./pochettes/422_Ice_Ice_Baby_Vanilla_Ice.jpg
2026-01-12,2018-07-19,Ramenez la coupe à la maison,Vegedream,3,Facile,./fichiers_audio/423_Ramenez_la_coupe_à_la_maison_Vegedream.m4a,./pochettes/423_Ramenez_la_coupe_à_la_maison_Vegedream.jpg
2026-01-12,1978-10-17,Y.M.C.A.,Village People,5,Facile,./fichiers_audio/424_YMCA_Village_People.m4a,./pochettes/424_YMCA_Village_People.jpg
2026-01-12,1984-05-14,Wake Me Up Before You Go-Go,Wham!,1,Moyen,./fichiers_audio/425_Wake_Me_Up_Before_You_Go-Go_Wham.m4a,./pochettes/425_Wake_Me_Up_Before_You_Go-Go_Wham.jpg
2026-01-12,1987-05-02,I Wanna Dance with Somebody,Whitney Houston,1,Facile,./fichiers_audio/426_I_Wanna_Dance_with_Somebody_Whitney_Houston.m4a,./pochettes/426_I_Wanna_Dance_with_Somebody_Whitney_Houston.jpg
2026-01-12,1992-11-02,I Will Always Love You,Whitney Houston,1,Facile,./fichiers_audio/427_I_Will_Always_Love_You_Whitney_Houston.m4a,./pochettes/427_I_Will_Always_Love_You_Whitney_Houston.jpg
2026-01-12,1997-06-03,Men in Black,Will Smith,3,Facile,./fichiers_audio/428_Men_in_Black_Will_Smith.m4a,./pochettes/428_Men_in_Black_Will_Smith.jpg
2026-01-12,2015-03-10,See You Again,Wiz Khalifa ft. Charlie Puth,3,Moyen,./fichiers_audio/429_See_You_Again_Wiz_Khalifa_ft_Charlie_Puth.m4a,./pochettes/429_See_You_Again_Wiz_Khalifa_ft_Charlie_Puth.jpg
2026-01-12,2010-05-10,Je veux,Zaz,1,Facile,./fichiers_audio/430_Je_veux_Zaz.m4a,./pochettes/430_Je_veux_Zaz.jpg
2026-01-12,1999-06-07,Tomber la chemise,Zebda,1,Facile,./fichiers_audio/431_Tomber_la_chemise_Zebda.m4a,./pochettes/431_Tomber_la_chemise_Zebda.jpg
2026-01-12,1989-10-23,Maldon,Zouk Machine,5,Moyen,./fichiers_audio/432_Maldon_Zouk_Machine.m4a,./pochettes/432_Maldon_Zouk_Machine.jpg
2026-01-12,1982-07-01,The Message,Grandmaster Flash,3,Facile,./fichiers_audio/433_The_Message_Grandmaster_Flash.m4a,./pochettes/433_The_Message_Grandmaster_Flash.jpg
2026-01-12,1995-12-03,California Love,2Pac,3,Moyen,./fichiers_audio/434_California_Love_2Pac.m4a,./pochettes/434_California_Love_2Pac.jpg
2026-01-12,1995-08-01,Gangsta's Paradise,Coolio,3,Moyen,./fichiers_audio/435_Gangstas_Paradise_Coolio.m4a,./pochettes/435_Gangstas_Paradise_Coolio.jpg
2026-01-12,1997-03-18,La Saga,IAM,3,Facile,./fichiers_audio/436_La_Saga_IAM.m4a,./pochettes/436_La_Saga_IAM.jpg
2026-01-12,2002-10-28,Lose Yourself,Eminem,3,Facile,./fichiers_audio/437_Lose_Yourself_Eminem.m4a,./pochettes/437_Lose_Yourself_Eminem.jpg
2026-01-12,2003-08-25,Hey Ya!,OutKast,3,Moyen,./fichiers_audio/438_Hey_Ya_OutKast.m4a,./pochettes/438_Hey_Ya_OutKast.jpg
2026-01-12,2009-09-01,Empire State of Mind,Jay-Z & Alicia Keys,3,Facile,./fichiers_audio/439_Empire_State_of_Mind_Jay-Z__Alicia_Keys.m4a,./pochettes/439_Empire_State_of_Mind_Jay-Z__Alicia_Keys.jpg
2026-01-12,2015-03-15,Alright,Kendrick Lamar,3,Moyen,./fichiers_audio/440_Alright_Kendrick_Lamar.m4a,./pochettes/440_Alright_Kendrick_Lamar.jpg
2026-01-12,2017-09-20,Basique,Orelsan,3,Facile,./fichiers_audio/441_Basique_Orelsan.m4a,./pochettes/441_Basique_Orelsan.jpg
2026-01-12,2021-11-19,La Quête,Orelsan,3,Facile,./fichiers_audio/442_La_Quête_Orelsan.m4a,./pochettes/442_La_Quête_Orelsan.jpg
2026-01-12,1974-11-01,Autobahn,Kraftwerk,4,Difficile,./fichiers_audio/443_Autobahn_Kraftwerk.m4a,./pochettes/443_Autobahn_Kraftwerk.jpg
